payment_id,customer_id,subscription_id,mandate_id,amount_inr,currency,failure_code,root_cause,mandate_status,attempt_number,previous_successes,previous_failures,created_at
pay_test_edb7f0426598,cust_648a659d80,sub_5fe00f9e9e,mandate_9e5026fda8,499,INR,bank_timeout,BANK_TIMEOUT,active,2,8,1,2026-08-10T16:10:46.031041
pay_test_c4d792e77505,cust_5f59afb357,sub_d09f2c8261,mandate_2ed558cb93,99,INR,limit_exceeded,LIMIT_EXCEEDED,active,1,18,3,2026-08-13T07:43:46.031180
pay_test_efcf6e387f19,cust_8f8949be8a,sub_9beeae116c,mandate_a890955331,9999,INR,mandate_revoked,REVOKED,revoked,4,17,1,2026-07-26T23:20:46.031217
pay_test_37b64dc66565,cust_09a45d300d,sub_450778cc8f,mandate_8a1e036d7a,1499,INR,insufficient_balance,BALANCE,active,3,5,5,2026-07-20T09:44:46.031243
pay_test_e3be82955102,cust_16c2a86554,sub_6425a7d84c,mandate_a39c33e1d8,1499,INR,mandate_limit_exceeded,LIMIT_EXCEEDED,active,1,3,0,2026-07-10T02:19:46.031265
pay_test_b8d16a1a3d7e,cust_eadad6a796,sub_ae1cabf081,mandate_23c51f05ec,199,INR,insufficient_balance,BALANCE,active,4,14,4,2026-08-13T20:39:46.031288
pay_test_1cdfd8bee5ef,cust_9b0ec0a3ab,sub_c8ac1727cf,mandate_1f43436788,199,INR,network_timeout,BANK_TIMEOUT,active,1,18,1,2026-06-01T06:08:46.031308
pay_test_358cbe909eb9,cust_a158e6e828,sub_bf5846279d,mandate_ca3573be32,1499,INR,insufficient_balance,BALANCE,active,3,7,0,2026-06-26T17:04:46.031329
pay_test_0a20215ac884,cust_3bc96fca51,sub_cd1fff0629,mandate_b51137c808,9999,INR,expired_mandate,EXPIRED_MANDATE,expired,3,11,1,2026-05-26T16:16:46.031371
pay_test_a67ff8bcdc65,cust_cb7d651706,sub_35f0531292,mandate_b90a3ab0ec,499,INR,insufficient_balance,BALANCE,active,2,17,5,2026-06-26T01:40:46.031395
pay_test_16ad22349ee2,cust_dd496f42f3,sub_9cd4d73164,mandate_3637959682,499,INR,limit_exceeded,LIMIT_EXCEEDED,active,1,10,0,2026-07-15T01:40:46.031416
pay_test_1cf104d28f66,cust_be44c00b7d,sub_3f528a5798,mandate_498ac3cfb7,1999,INR,low_balance,BALANCE,active,4,6,5,2026-06-02T23:48:46.031437
pay_test_b576c48bf7cb,cust_25b97676c2,sub_88fb8fc8de,mandate_22a8fc05ac,799,INR,insufficient_balance,BALANCE,active,4,17,4,2026-06-11T01:34:46.031457
pay_test_5409e4bbc0e7,cust_9f34b8e2d5,sub_04c326f269,mandate_6507e5f4da,199,INR,insufficient_balance,BALANCE,active,1,16,3,2026-08-10T09:17:46.031478
pay_test_18c7de3cbcf0,cust_f701e10d43,sub_2c4e92445f,mandate_29799b8d70,1499,INR,low_balance,BALANCE,active,4,19,0,2026-06-08T23:24:46.031497
pay_test_caae7e79f8b7,cust_bc1cac0f70,sub_6d5860b0f3,mandate_33e496e3d1,2499,INR,insufficient_balance,BALANCE,active,3,3,5,2026-06-03T03:50:46.031518
pay_test_22a89288d9f9,cust_422e4659a1,sub_29d42ffb9c,mandate_b61260eb18,799,INR,insufficient_balance,BALANCE,active,2,14,0,2026-06-21T10:02:46.031551
pay_test_28f0684207c7,cust_94450560ba,sub_56d7dba4d9,mandate_06fa3092a6,299,INR,bank_timeout,BANK_TIMEOUT,active,1,4,2,2026-06-09T03:26:46.031576
pay_test_fe29365caa63,cust_de327c26f2,sub_181585f3dd,mandate_063059e8da,99,INR,low_balance,BALANCE,active,2,9,1,2026-06-13T11:52:46.031608
pay_test_35c0968bc49e,cust_ca60e799eb,sub_d4db3a36df,mandate_19065b4178,299,INR,bank_timeout,BANK_TIMEOUT,active,4,17,1,2026-06-15T08:41:46.031632
pay_test_27691f670a4f,cust_284f6ce071,sub_d5fe62f63b,mandate_6d5be6b95a,499,INR,revoked_mandate,REVOKED,revoked,3,6,4,2026-07-03T16:16:46.031652
pay_test_224b1c62af88,cust_9baa3d9b32,sub_4c15ffa956,mandate_c5c07314a9,499,INR,expired_mandate,EXPIRED_MANDATE,expired,1,3,1,2026-07-12T13:20:46.031672
